Package Name,Version Code,WebView
com.a0soft.gphone.aDataOnOff,264,True
com.devuni.flashlight,141,True
com.halfbrick.jetpackjoyride,1526,True
com.tencent.mm,351,True
com.avast.android.mobilesecurity,6158,True
com.cleanmaster.mguard,30700303,True
com.bestcoolfungames.antsmasher,7007,True
com.androidwasabi.livewallpaper.waterdrop,28,True
com.facebook.orca,295612,True
com.creativemobile.DragRacing,85,True
com.picsart.studio,68,True
com.gameloft.android.ANMP.GloftDMHM,110,True
com.rovio.angrybirdsrio,1800,True
com.yahoo.mobile.client.android.mail,1311682,True
com.alensw.PicFolder,111,False
com.ansangha.drdriving,24,True
vStudio.Android.Camera360,434,True
com.rovio.angrybirdsspace.ads,1520,True
com.facebook.katana,258882,True
com.kakao.talk,138,True
com.rovio.angrybirdsstarwars.ads.iap,1410,True
com.google.android.googlequicksearchbox,300301240,True
com.imangi.templerun2,14,True
com.UCMobile.intl,89,True
com.metago.astro,525,True
com.google.android.apps.books,20921,True
com.sec.spp.push,46,False
tunein.player,116,True
com.surpax.ledflashlight.panel,4,True
