Package Name,Version Code,Number of Default Layouts
com.a0soft.gphone.aDataOnOff,264,79
com.devuni.flashlight,141,2
com.halfbrick.jetpackjoyride,1526,9
com.tencent.mm,351,753
com.avast.android.mobilesecurity,6158,213
com.cleanmaster.mguard,30700303,110
com.bestcoolfungames.antsmasher,7007,12
com.androidwasabi.livewallpaper.waterdrop,28,13
com.facebook.orca,295612,286
com.creativemobile.DragRacing,85,12
com.picsart.studio,68,385
com.gameloft.android.ANMP.GloftDMHM,110,28
com.rovio.angrybirdsrio,1800,17
com.yahoo.mobile.client.android.mail,1311682,225
com.alensw.PicFolder,111,15
com.ansangha.drdriving,24,14
vStudio.Android.Camera360,434,180
com.rovio.angrybirdsspace.ads,1520,1
com.facebook.katana,258882,889
com.kakao.talk,138,390
com.rovio.angrybirdsstarwars.ads.iap,1410,1
com.google.android.googlequicksearchbox,300301240,357
com.imangi.templerun2,14,14
com.UCMobile.intl,89,132
com.metago.astro,525,223
com.google.android.apps.books,20921,111
com.sec.spp.push,46,12
tunein.player,116,194
com.surpax.ledflashlight.panel,4,10
