Package Name,Version Code,Number of ImageButton elements
com.a0soft.gphone.aDataOnOff,264,1
com.devuni.flashlight,141,0
com.halfbrick.jetpackjoyride,1526,2
com.tencent.mm,351,15
com.avast.android.mobilesecurity,6158,1
com.cleanmaster.mguard,30700303,0
com.bestcoolfungames.antsmasher,7007,0
com.androidwasabi.livewallpaper.waterdrop,28,0
com.facebook.orca,295612,16
com.creativemobile.DragRacing,85,0
com.picsart.studio,68,93
com.gameloft.android.ANMP.GloftDMHM,110,0
com.rovio.angrybirdsrio,1800,4
com.yahoo.mobile.client.android.mail,1311682,23
com.alensw.PicFolder,111,0
com.ansangha.drdriving,24,0
vStudio.Android.Camera360,434,1
com.rovio.angrybirdsspace.ads,1520,0
com.facebook.katana,258882,32
com.kakao.talk,138,10
com.rovio.angrybirdsstarwars.ads.iap,1410,0
com.google.android.googlequicksearchbox,300301240,7
com.imangi.templerun2,14,0
com.UCMobile.intl,89,5
com.metago.astro,525,6
com.google.android.apps.books,20921,6
com.sec.spp.push,46,0
tunein.player,116,4
com.surpax.ledflashlight.panel,4,2
