Package Name,Version Code,Number of used on_click
com.a0soft.gphone.aDataOnOff,264,0
com.devuni.flashlight,141,0
com.halfbrick.jetpackjoyride,1526,0
com.tencent.mm,351,0
com.avast.android.mobilesecurity,6158,0
com.cleanmaster.mguard,30700303,8
com.bestcoolfungames.antsmasher,7007,0
com.androidwasabi.livewallpaper.waterdrop,28,0
com.facebook.orca,295612,0
com.creativemobile.DragRacing,85,0
com.picsart.studio,68,1
com.gameloft.android.ANMP.GloftDMHM,110,0
com.rovio.angrybirdsrio,1800,5
com.yahoo.mobile.client.android.mail,1311682,2
com.alensw.PicFolder,111,0
com.ansangha.drdriving,24,0
vStudio.Android.Camera360,434,95
com.rovio.angrybirdsspace.ads,1520,0
com.facebook.katana,258882,0
com.kakao.talk,138,3
com.rovio.angrybirdsstarwars.ads.iap,1410,0
com.google.android.googlequicksearchbox,300301240,30
com.imangi.templerun2,14,0
com.UCMobile.intl,89,0
com.metago.astro,525,0
com.google.android.apps.books,20921,0
com.sec.spp.push,46,0
tunein.player,116,0
com.surpax.ledflashlight.panel,4,0
