Package Name,Version Code,Fragment
com.a0soft.gphone.aDataOnOff,264,True
com.devuni.flashlight,141,False
com.halfbrick.jetpackjoyride,1526,False
com.tencent.mm,351,False
com.avast.android.mobilesecurity,6158,True
com.cleanmaster.mguard,30700303,False
com.bestcoolfungames.antsmasher,7007,False
com.androidwasabi.livewallpaper.waterdrop,28,False
com.facebook.orca,295612,False
com.creativemobile.DragRacing,85,False
com.picsart.studio,68,True
com.gameloft.android.ANMP.GloftDMHM,110,False
com.rovio.angrybirdsrio,1800,False
com.yahoo.mobile.client.android.mail,1311682,True
com.alensw.PicFolder,111,False
com.ansangha.drdriving,24,True
vStudio.Android.Camera360,434,False
com.rovio.angrybirdsspace.ads,1520,False
com.facebook.katana,258882,False
com.kakao.talk,138,False
com.rovio.angrybirdsstarwars.ads.iap,1410,False
com.google.android.googlequicksearchbox,300301240,True
com.imangi.templerun2,14,True
com.UCMobile.intl,89,False
com.metago.astro,525,False
com.google.android.apps.books,20921,False
com.sec.spp.push,46,False
tunein.player,116,True
com.surpax.ledflashlight.panel,4,False
