Package Name,Version Code,Number of Supported Screen Sizes,normal,normal,large,xlarge
com.jiubang.goscreenlock,325,3,True,True,True,False
com.facebook.katana,258882,4,True,True,True,True
com.PinballGame,9,4,True,True,True,True
com.outfit7.talkingtom,63,3,False,True,True,True
com.aceviral.angrygranrun,24,4,True,True,True,True
com.google.android.apps.books,20921,4,True,True,True,True
brain.age.analyzer,53,4,True,True,True,True
com.gamestar.pianoperfect,614,4,True,True,True,True
com.sec.spp.push,36,4,True,True,True,True
com.netflix.mediaclient,1042,4,True,True,True,True
com.imangi.templerun2,14,4,True,True,True,True
co.vine.android,1400110,4,True,True,True,True
com.google.android.apps.maps,704001103,4,True,True,True,True
vStudio.Android.Camera360,434,4,True,True,True,True
com.google.android.apps.docs,1246114,4,True,True,True,True
jp.naver.line.android,135,4,True,True,True,True
com.outfit7.talkingtom2free,32,1,False,True,False,False
com.RunnerGames.game.JewelsDeluxe_AD,25,3,True,True,True,False
com.sec.chaton,302115000,4,True,True,True,True
com.picsart.studio,79,4,True,True,True,True
com.gameloft.android.ANMP.GloftDMHM,15022,3,False,True,True,True
com.disney.WMWLite,17,3,False,True,True,True
com.androidwasabi.livewallpaper.dandelion,42,3,True,True,True,False
com.roidapp.photogrid,101,4,True,True,True,True
com.lookout,81910,4,True,True,True,True
com.ebay.mobile,46,4,True,True,True,True
com.facebook.orca,906963,4,True,True,True,True
com.bestcoolfungames.antsmasher,7007,3,True,True,True,False
com.zeptolab.ctr.ads,22,4,True,True,True,True
com.RunnerGames.game.JewelsDeluxe_AD,24,3,True,True,True,False
com.google.android.music,1316,4,True,True,True,True
com.ansangha.drdriving,12,4,True,True,True,True
com.outfit7.talkingtom,52,1,False,True,False,False
com.google.earth,13140170,3,False,True,True,True
com.facebook.orca,295612,4,True,True,True,True
com.amazon.mp3,3002410,3,False,True,True,True
com.google.android.apps.plus,410508092,4,True,True,True,True
com.google.android.music,1109,4,True,True,True,True
ch.smalltech.ledflashlight.free,156,4,True,True,True,True
air.com.playtika.slotomania,1039000,4,True,True,True,True
com.viber.voip,37,4,True,True,True,True
com.adobe.air,3900138,4,True,True,True,True
com.imangi.templerun2,12,4,True,True,True,True
com.jiubang.goscreenlock,337,3,True,True,True,False
com.UCMobile.intl,89,3,True,True,True,False
com.accuweather.android,45,4,True,True,True,True
tunein.player,116,4,True,True,True,True
tunein.player,68,4,True,True,True,True
goldenshorestechnologies.brightestflashlight.free,27,3,True,True,True,False
com.rovio.angrybirdsstarwars.ads.iap,1410,4,True,True,True,True
org.mozilla.firefox,2013120507,4,True,True,True,True
com.dropbox.android,231104,4,True,True,True,True
com.halfbrick.jetpackjoyride,1600,4,True,True,True,True
